Param,ParamGroup,USGSPCode,CAS_Reg
"1,2,4-Trimethylbenzene","Organics, other",,95-63-6
"1,2,4-trimethylbenzene","Organics, other",,95-63-6
"1,2-Dibromo-3-chloropropane","Organics, pesticide",,96-12-8
"1,2-Dichloroethane",Toxicity,,107-06-2
"1,2-dichloroethane",Toxicity,,107-06-2
"1,2-Dichloroethylene","Organics, other",,540-59-0
"1,2-Dichloropropane","Organics, pesticide",,78-87-5
"1,2-dichloropropane","Organics, pesticide",,78-87-5
"1,2-Dimethylnaphthalene","Organics, other",49403,573-98-8
"1,2-Diphenylhydrazine","Organics, other",,122-66-7
"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran",,,
"1,3,5-Triazin-2(1H)-one, 4-(ethylamino)-6-[(1-methylethyl)amino]-","Organics, pesticide",50355,2163-68-0
"1,3,5-Trimethylbenzene","Organics, other",,108-67-8
"1,3,5-trimethylbenzene","Organics, other",,108-67-8
"1,3-Dichloropropane","Organics, pesticide",,142-28-9
"1,3-dichloropropane","Organics, pesticide",,142-28-9
"1,3-Dichloropropene","Organics, pesticide",,542-75-6
"1,3-dichloropropene","Organics, pesticide",,542-75-6
"1,4-Benzenedicarboxylic acid, 2,3,5,6-tetrachloro-, monomethyl ester","Organics, pesticide",49304,887-54-7
"1,4-Dichloro-2-butene",,,
"1,4-Dichloro-2-butyne",,,
"1,4-Dioxane","Organics, other",,123-91-1
"1,6-Dimethylnaphthalene","Organics, other",49404,575-43-9
1-Chloropropane,,,
"1H-Benzotriazole, 5-methyl-","Organics, other",61944,136-85-6
1-Methylfluorene,"Organics, other",49398,1730-37-6
1-Methylnaphthalene,"Organics, other",,90-12-0
1-Methylphenanthrene,"Organics, other",49410,832-69-9
1-Methylpyrene,"Organics, other",49388,2381-21-7
1-Naphthol,"Organics, pesticide",49295,90-15-3
1-Phenethyl-4-(phenylpropionylamino)piperidine,,,
1RS cis-Permethrin,"Organics, pesticide",49349,61949-76-6
