CAS_Reg,Param,ParamGroup,USGSPCode
NULL,"Gross alpha radioactivity, (Thorium-230 ref std)",NULL,NULL
NULL,"Gross beta radioactivity, (Cesium-137 ref std)",NULL,NULL
NULL,"Gross beta radioactivity, (Strontium-Yttrium-90 ref std)",NULL,NULL
NULL,Hafnium,NULL,NULL
NULL,Halogenated organics,NULL,NULL
NULL,Halon 1011,NULL,NULL
NULL,Halon 1011,NULL,77297
NULL,"Hardness, Ca, Mg",NULL,NULL
NULL,"Hardness, Ca, Mg as CaCO3",NULL,NULL
NULL,"Hardness, carbonate",NULL,NULL
NULL,"Hardness, carbonate",NULL,00901
NULL,"Hardness, carbonate as CaCO3",NULL,NULL
NULL,"Hardness, magnesium",NULL,NULL
NULL,"Hardness, non-carbonate",NULL,NULL
NULL,"Hardness, non-carbonate",NULL,00902
NULL,"Hardness, non-carbonate",NULL,00903
NULL,"Hardness, non-carbonate",NULL,00904
NULL,"Hardness, non-carbonate",NULL,00905
NULL,"Hardness, non-carbonate",NULL,95902
NULL,HCFC-21,NULL,NULL
NULL,"Height, gage",NULL,00065
NULL,Helium,NULL,NULL
NULL,Helium,NULL,61038
NULL,Helium,NULL,64184
NULL,Heptachlor,NULL,NULL
NULL,Heptachlor,NULL,39410
NULL,Heptachlor,NULL,39411
NULL,Heptachlor,NULL,39412
NULL,Heptachlor,NULL,39413
NULL,Heptachlor,NULL,49341
NULL,Heptachlor epoxide,NULL,NULL
NULL,Heptachlor epoxide,NULL,39420
NULL,Heptachlor epoxide,NULL,39421
NULL,Heptachlor epoxide,NULL,39422
NULL,Heptachlor epoxide,NULL,39423
NULL,Heptachlor epoxide,NULL,49342
NULL,Heptachlorobiphenyl,NULL,NULL
NULL,Heterotrophic bacteria,NULL,NULL
NULL,Hexachlorobenzene,NULL,NULL
NULL,Hexachlorobenzene,NULL,39700
NULL,Hexachlorobenzene,NULL,39701
NULL,Hexachlorobenzene,NULL,49343
NULL,Hexachlorobiphenyl,NULL,NULL
NULL,Hexachlorobutadiene,NULL,NULL
NULL,Hexachlorobutadiene,NULL,39702
NULL,Hexachlorobutadiene,NULL,39705
NULL,Hexachlorocyclohexane,NULL,NULL
NULL,Hexachlorocyclopentadiene,NULL,NULL
NULL,Hexachlorocyclopentadiene,NULL,34386
NULL,Hexachlorocyclopentadiene,NULL,34389
NULL,Hexachloroethane,NULL,NULL
NULL,Hexachloroethane,NULL,34396
NULL,Hexachloroethane,NULL,34399
NULL,Hexane,NULL,NULL
NULL,Hexazinone,NULL,NULL
NULL,Hexazinone,NULL,04025
NULL,Hexazinone,NULL,30264
NULL,Holmium,NULL,NULL
NULL,Holmium,NULL,01247
NULL,Holmium,NULL,04059
NULL,Holmium,NULL,34875
NULL,Holmium,NULL,34877
NULL,Holmium,NULL,50577
NULL,Hydrocarbons,NULL,NULL
NULL,"Hydrocarbons, petroleum",NULL,NULL
NULL,"Hydrocarbons, petroleum",NULL,62172
NULL,"Hydrocarbons, volatile",NULL,NULL
NULL,Hydrocodone bitartrate,NULL,NULL
NULL,Hydrocodone-D6,NULL,NULL
NULL,Hydrogen,NULL,NULL
NULL,Hydrogen,NULL,64185
NULL,Hydrogen ion,NULL,00191
NULL,Hydrogen sulfide,NULL,NULL
NULL,Hydrogen sulfide,NULL,71875
NULL,Hydromorphone hydrochloride,NULL,NULL
NULL,Hydroxide,NULL,NULL
NULL,Hydroxide,NULL,71830
NULL,Hydroxide,NULL,71832
NULL,Hydroxide,NULL,71834
NULL,Hydroxide,NULL,99830
NULL,Ibuprofen-13C3,NULL,NULL
NULL,"Ice cover, floating or solid",NULL,01355
NULL,Imazaquin,NULL,NULL
NULL,Imazaquin,NULL,50356
NULL,Imazethapyr,NULL,NULL
NULL,Imazethapyr,NULL,50407
NULL,Imidacloprid,NULL,NULL
NULL,Imidacloprid,NULL,61695
NULL,Imipramine,NULL,NULL
NULL,"Indeno[1,2,3-cd]pyrene",NULL,NULL
NULL,"Indeno[1,2,3-cd]pyrene",NULL,34403
NULL,"Indeno[1,2,3-cd]pyrene",NULL,34406
NULL,"Indeno[1,2,3-cd]pyrene",NULL,49390
NULL,Indium,NULL,NULL
NULL,Indole,NULL,NULL
NULL,Indole,NULL,62076
NULL,Indole,NULL,62824
NULL,Inorganic carbon,NULL,NULL
NULL,Inorganic carbon,NULL,00685
NULL,Inorganic carbon,NULL,00686
NULL,Inorganic carbon,NULL,00688
NULL,Inorganic carbon,NULL,00691
NULL,Inorganic carbon,NULL,30241
NULL,Inorganic carbon,NULL,49270
NULL,Inorganic nitrogen (nitrate and nitrite),NULL,NULL
NULL,Inorganic nitrogen (nitrate and nitrite),NULL,00630
NULL,Inorganic nitrogen (nitrate and nitrite),NULL,00631
NULL,Inorganic nitrogen (nitrate and nitrite),NULL,00633
NULL,Inorganic nitrogen (nitrate and nitrite),NULL,99889
NULL,Inorganic nitrogen (nitrate and nitrite) as N,NULL,NULL
NULL,"Instream features, est. stream width",NULL,00004
NULL,iodide,NULL,NULL
NULL,iodide,NULL,71865
NULL,Iodine,NULL,NULL
NULL,Iodine-131,NULL,NULL
NULL,Ionic strength,NULL,NULL
NULL,Iprodione,NULL,61593
NULL,Iridium,NULL,NULL
NULL,Iron,NULL,NULL
NULL,Iron,NULL,01044
NULL,Iron,NULL,01045
NULL,Iron,NULL,01046
NULL,Iron,NULL,01170
NULL,Iron,NULL,04135
NULL,Iron,NULL,30269
NULL,Iron,NULL,34880
NULL,Iron,NULL,34882
NULL,Iron,NULL,71885
NULL,iron,NULL,99115
NULL,iron,NULL,99129
NULL,"Iron, ion (Fe2+)",NULL,01047
NULL,"iron, ion (fe2+)",NULL,99114
NULL,Iron-59,NULL,07060
NULL,Isoborneol,NULL,NULL
NULL,Isoborneol,NULL,62077
NULL,Isoborneol,NULL,62825
NULL,Isobutanol,NULL,NULL
NULL,Isodrin,NULL,NULL
NULL,Isodrin,NULL,49344
NULL,Isofenphos,NULL,61594
NULL,Isophorone,NULL,NULL
NULL,Isophorone,NULL,34408
NULL,Isophorone,NULL,34409
NULL,Isophorone,NULL,34411
NULL,Isophorone,NULL,49400
NULL,Isopropanol,NULL,NULL
NULL,Isopropyl ether,NULL,81577
NULL,Isoquinoline,NULL,NULL
NULL,Isoquinoline,NULL,49394
NULL,Isoquinoline,NULL,62079
NULL,Isoquinoline,NULL,62826
NULL,Kjeldahl nitrogen,NULL,NULL
NULL,Kjeldahl nitrogen,NULL,00623
NULL,Kjeldahl nitrogen,NULL,00624
NULL,Kjeldahl nitrogen,NULL,00625
NULL,Kjeldahl nitrogen,NULL,00626
NULL,Kjeldahl nitrogen,NULL,00635
NULL,Kjeldahl nitrogen,NULL,00636
NULL,Kjeldahl nitrogen,NULL,99892
NULL,Kjeldahl nitrogen,NULL,99894
NULL,Kjeldahl nitrogen as N,NULL,NULL
NULL,Krypton,NULL,85565
NULL,Langelier index (pH's),NULL,NULL
NULL,Lanthanum,NULL,NULL
NULL,Lanthanum,NULL,01180
NULL,Lanthanum,NULL,01182
NULL,Lanthanum,NULL,34885
NULL,Lanthanum,NULL,34887
NULL,Lead,NULL,NULL
NULL,Lead,NULL,01049
NULL,Lead,NULL,01050
NULL,Lead,NULL,01051
NULL,Lead,NULL,01052
NULL,Lead,NULL,04130
NULL,Lead,NULL,29836
NULL,Lead,NULL,34890
NULL,Lead,NULL,34892
NULL,Lead-210,NULL,NULL
NULL,Lead-210,NULL,17503
NULL,Lead-210,NULL,75946
NULL,Lead-210,NULL,75949
NULL,Lead-210,NULL,75995
NULL,Lead-212,NULL,NULL
NULL,Lead-214,NULL,NULL
NULL,Lederfen,NULL,NULL
NULL,Levorphanol,NULL,NULL
NULL,"Light attenuation, depth at 99%",NULL,NULL
NULL,"Light, transmissivity",NULL,NULL
NULL,Lindane,NULL,NULL
NULL,Lindane,NULL,39340
NULL,Lindane,NULL,39341
NULL,Lindane,NULL,39342
NULL,Lindane,NULL,39343
NULL,Lindane,NULL,49345
NULL,Linuron,NULL,NULL
NULL,Linuron,NULL,38478
NULL,Linuron,NULL,82666
NULL,Lithium,NULL,NULL
NULL,Lithium,NULL,01130
NULL,Lithium,NULL,01131
NULL,Lithium,NULL,01132
NULL,Lithium,NULL,01133
NULL,Lithium,NULL,34895
NULL,Lithium,NULL,34897
NULL,Lithium,NULL,35050
NULL,Lithium,NULL,68079
NULL,Lloyd - Zar - Karr Species Diversity Index,NULL,NULL
NULL,Loratadine,NULL,NULL
NULL,Lorazepam,NULL,NULL
NULL,Lutetium,NULL,NULL
NULL,Lutetium,NULL,01244
NULL,Lutetium,NULL,62844
NULL,Magnesium,NULL,NULL
NULL,Magnesium,NULL,00921
NULL,Magnesium,NULL,00924
NULL,Magnesium,NULL,00925
NULL,Magnesium,NULL,00926
NULL,Magnesium,NULL,00927
NULL,Magnesium,NULL,34900
NULL,Magnesium,NULL,34902
NULL,magnesium,NULL,91052
NULL,Malaoxon,NULL,61652
NULL,Malathion,NULL,NULL
NULL,Malathion,NULL,39530
NULL,Malathion,NULL,39531
NULL,Malathion,NULL,39532
NULL,Malathion,NULL,39533
NULL,Malathion-D10,NULL,NULL
NULL,Manganese,NULL,NULL
NULL,Manganese,NULL,01053
NULL,Manganese,NULL,01054
NULL,Manganese,NULL,01055
NULL,Manganese,NULL,01056
NULL,Manganese,NULL,01123
NULL,Manganese,NULL,04136
NULL,Manganese,NULL,29839
NULL,Manganese,NULL,34905
NULL,Manganese,NULL,34907
NULL,Manganese,NULL,71883
NULL,Manganese,NULL,83298
NULL,Manganese-54,NULL,NULL
NULL,MBAS,NULL,NULL
NULL,m-Chlorotoluene,NULL,NULL
NULL,MCPA,NULL,NULL
NULL,MCPA,NULL,38482
NULL,MCPB,NULL,38487
NULL,m-Cresol,NULL,NULL
NULL,m-Cymene,NULL,NULL
NULL,MDA,NULL,NULL
NULL,MDEA,NULL,NULL
NULL,m-Dichlorobenzene,NULL,NULL
NULL,m-Dichlorobenzene,NULL,34566
NULL,m-Dichlorobenzene,NULL,34569
NULL,m-Dichlorobenzene,NULL,49441
NULL,m-Dinitrobenzene,NULL,NULL
NULL,MDMA,NULL,NULL
NULL,Mecoprop,NULL,NULL
NULL,Medroxyprogesterone,NULL,NULL
NULL,Megestrol acetate,NULL,NULL
NULL,Meperidine,NULL,NULL
NULL,Mephobarbital,NULL,NULL
NULL,Meprobamate,NULL,NULL
NULL,Mercury,NULL,NULL
NULL,Mercury,NULL,04133
NULL,Mercury,NULL,29841
NULL,Mercury,NULL,34910
NULL,Mercury,NULL,50286
NULL,Mercury,NULL,50287
NULL,Mercury,NULL,71890
NULL,Mercury,NULL,71895
NULL,Mercury,NULL,71900
NULL,Mercury,NULL,71921
NULL,Mestranol,NULL,NULL
NULL,meta & para Xylene mix,NULL,NULL
NULL,Metalaxyl,NULL,NULL
NULL,Metalaxyl,NULL,04254
NULL,Metalaxyl,NULL,50359
NULL,Metalaxyl,NULL,61596
NULL,Methacrylonitrile,NULL,NULL
NULL,Methacrylonitrile,NULL,81593
NULL,Methamphetamine hydrochloride,NULL,NULL
NULL,Methane,NULL,NULL
NULL,Methane,NULL,76994
NULL,Methane,NULL,85574
NULL,Methidathion,NULL,61598
NULL,Methiocarb,NULL,NULL
NULL,Methiocarb,NULL,30282
NULL,Methiocarb,NULL,38501
NULL,Methomyl,NULL,NULL
NULL,Methomyl,NULL,39051
NULL,Methomyl,NULL,49296
NULL,Methoxychlor,NULL,NULL
NULL,Methoxychlor,NULL,39480
NULL,Methoxychlor,NULL,39481
NULL,Methoxychlor,NULL,49346
NULL,Methoxychlor,NULL,82350
NULL,Methyl acetate,NULL,NULL
NULL,Methyl acetate,NULL,77032
NULL,Methyl acrylate,NULL,49991
NULL,Methyl bromide,NULL,NULL
NULL,Methyl bromide,NULL,34413
NULL,Methyl ethyl ketone,NULL,NULL
NULL,Methyl ethyl ketone,NULL,81595
NULL,Methyl iodide,NULL,NULL
NULL,Methyl iodide,NULL,77424
NULL,Methyl isobutyl ketone,NULL,NULL
NULL,Methyl isobutyl ketone,NULL,78133
NULL,Methyl methacrylate,NULL,NULL
NULL,Methyl methacrylate,NULL,81597
NULL,Methyl paraoxon,NULL,61664
NULL,Methyl parathion,NULL,NULL
NULL,Methyl parathion,NULL,39600
NULL,Methyl parathion,NULL,39601
NULL,Methyl parathion,NULL,39602
NULL,Methyl parathion,NULL,39603
NULL,Methyl parathion,NULL,82667
NULL,Methyl salicylate,NULL,NULL
NULL,Methyl salicylate,NULL,62081
NULL,Methyl salicylate,NULL,62828
NULL,Methyl tert-butyl ether,NULL,NULL
NULL,Methyl tert-butyl ether,NULL,78032
NULL,Methylcyclohexane,NULL,NULL
NULL,Methylene chloride,NULL,NULL
NULL,Methylene chloride,NULL,34423
NULL,Methylmercury(1+),NULL,50284
NULL,Methylmercury(1+),NULL,50285
NULL,Methylparaben,NULL,NULL
NULL,Metolachlor,NULL,NULL
NULL,Metolachlor,NULL,39415
NULL,Metolachlor,NULL,82612
NULL,Metolachlor ESA,NULL,NULL
NULL,Metolachlor OA,NULL,NULL
NULL,Metoprolol,NULL,NULL
NULL,Metribuzin,NULL,NULL
NULL,Metribuzin,NULL,82611
NULL,Metribuzin,NULL,82630
NULL,Metsulfuron-methyl,NULL,61697
NULL,m-Hydroxybenzoylecgonine,NULL,NULL
NULL,Mirex,NULL,NULL
NULL,Mirex,NULL,39755
NULL,Mirex,NULL,39756
NULL,Mirex,NULL,39758
NULL,Mirex,NULL,49348
NULL,m-Nitroaniline,NULL,NULL
NULL,Moisture content,NULL,00495
NULL,Molinate,NULL,NULL
NULL,Molinate,NULL,82671
NULL,Molybdenum,NULL,NULL
NULL,Molybdenum,NULL,01060
NULL,Molybdenum,NULL,01061
NULL,Molybdenum,NULL,01062
NULL,Molybdenum,NULL,01063
NULL,Molybdenum,NULL,29843
NULL,Molybdenum,NULL,34915
NULL,Molybdenum,NULL,34917
NULL,Monensin,NULL,NULL
NULL,Monocrotophos,NULL,82186
NULL,Monuron,NULL,NULL
NULL,"Morphinan-6-ol, 7,8-didehydro-4,5-epoxy-3-methoxy-17-methyl-, (5.alpha.,6.alpha.)-",NULL,62003
NULL,"Morphinan-6-one, 4,5-epoxy-14-hydroxy-3-methoxy-17-methyl-, (5.alpha.)-",NULL,NULL
NULL,Morphine,NULL,NULL
NULL,"Morpholine, 3-methyl-2-phenyl-",NULL,NULL
NULL,Musk ketone,NULL,NULL
NULL,m-Xylene,NULL,NULL
NULL,Myclobutanil,NULL,61599
NULL,"N,N-Diethyl-m-toluamide",NULL,NULL
NULL,"N,N-Diethyl-m-toluamide",NULL,61947
NULL,"N,N-Diethyl-m-toluamide",NULL,62082
NULL,Naphthalene,NULL,NULL
NULL,Naphthalene,NULL,34443
NULL,Naphthalene,NULL,34445
NULL,Naphthalene,NULL,34696
NULL,Naphthalene,NULL,49402
NULL,Napropamide,NULL,NULL
NULL,Napropamide,NULL,82684
NULL,Naproxen,NULL,NULL
NULL,NARSTEST~Enterococci Samp,NULL,NULL
NULL,n-Butylbenzene,NULL,NULL
NULL,n-Butylbenzene,NULL,77342
NULL,Neburon,NULL,NULL
NULL,Neburon,NULL,49294
NULL,Neodymium,NULL,NULL
NULL,Neodymium,NULL,01237
NULL,Neodymium,NULL,34920
NULL,Neodymium,NULL,34922
NULL,Neodymium,NULL,50579
NULL,Neon,NULL,61046
NULL,Neon,NULL,64186
NULL,Nickel,NULL,NULL
NULL,Nickel,NULL,01065
NULL,Nickel,NULL,01066
NULL,Nickel,NULL,01067
NULL,Nickel,NULL,01068
NULL,Nickel,NULL,04132
NULL,Nickel,NULL,29845
NULL,Nickel,NULL,34925
NULL,Nickel,NULL,34927
NULL,Nicosulfuron,NULL,50364
NULL,Nifedipine,NULL,NULL
NULL,Niobium,NULL,NULL
NULL,Niobium,NULL,01239
NULL,Niobium,NULL,34930
NULL,Niobium,NULL,34932
NULL,Niobium,NULL,50580
NULL,Nitrate,NULL,NULL
NULL,Nitrate,NULL,00618
NULL,Nitrate,NULL,00620
NULL,Nitrate,NULL,71850
NULL,Nitrate,NULL,71851
NULL,Nitrate,NULL,91003
NULL,Nitrate,Nutrient,NULL
NULL,Nitrate and nitrite as NO3,NULL,NULL
NULL,Nitrate as N,NULL,NULL
NULL,Nitrate as NO3,NULL,NULL
NULL,Nitrate-Nitrogen,NULL,NULL
NULL,Nitrazepam,NULL,NULL
NULL,Nitrite,NULL,NULL
NULL,Nitrite,NULL,00613
NULL,Nitrite,NULL,00615
NULL,Nitrite,NULL,71855
NULL,Nitrite,NULL,71856
NULL,Nitrite,Nutrient,NULL
NULL,Nitrite as N,NULL,NULL
NULL,Nitrite as NO2,NULL,NULL
NULL,Nitrobenzene,NULL,NULL
NULL,Nitrobenzene,NULL,34447
NULL,Nitrobenzene,NULL,34450
NULL,Nitrobenzene,NULL,49444
NULL,nitrogen,NULL,NULL
NULL,Nitrogen,NULL,00597
NULL,Nitrogen,NULL,49570
NULL,Nitrogen as N,NULL,NULL
NULL,Nitrogen ion,NULL,NULL
NULL,"Nitrogen, ammonium/ammonia ratio",NULL,NULL
NULL,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",NULL,NULL
NULL,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",NULL,00600
NULL,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",NULL,00602
NULL,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",NULL,00603
NULL,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",NULL,62845
NULL,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",NULL,62854
NULL,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",NULL,62855
NULL,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",NULL,71887
NULL,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",NULL,99410
NULL,Nitrogen-15/14 ratio,NULL,82084
NULL,Nitrogen-15/14 ratio,NULL,82690
NULL,Nitrogen-15/14 ratio,NULL,82691
NULL,N-Nitrosodimethylamine,NULL,NULL
NULL,N-Nitrosodimethylamine,NULL,34438
NULL,N-Nitrosodimethylamine,NULL,34441
NULL,N-Nitrosodi-n-propylamine,NULL,NULL
NULL,N-Nitrosodi-n-propylamine,NULL,34428
NULL,N-Nitrosodi-n-propylamine,NULL,34431
NULL,N-Nitrosodi-n-propylamine,NULL,49431
NULL,N-Nitrosodiphenylamine,NULL,NULL
NULL,N-Nitrosodiphenylamine,NULL,34433
NULL,N-Nitrosodiphenylamine,NULL,34436
NULL,N-Nitrosodiphenylamine,NULL,49433
NULL,Nonylphenol,NULL,NULL
NULL,Nordoxepin,NULL,NULL
NULL,Norethisterone,NULL,NULL
NULL,Norethynodrel,NULL,NULL
NULL,Norfluoxetine oxalate,NULL,NULL
NULL,Norfluoxetine-D6,NULL,NULL
NULL,Norflurazon,NULL,49293
NULL,Nortriptyline,NULL,NULL
NULL,Norverapamil hydrochloride,NULL,NULL
NULL,Not Detected,NULL,NULL
NULL,Not Detected,NULL,"Initial result and rerun result within acceptable "
NULL,Not Reported,NULL,NULL
NULL,N-Phenyl-N-(4-piperidinyl)propanamide,NULL,NULL
NULL,n-Propylbenzene,NULL,NULL
NULL,n-Propylbenzene,NULL,77224
NULL,Nutrient-nitrogen,NULL,NULL
NULL,"o,p'-DDD",NULL,49325
NULL,"o,p'-DDE",NULL,49327
NULL,"o,p'-DDT",NULL,49329
NULL,o-Chlorophenol,NULL,NULL
NULL,o-Chlorophenol,NULL,34586
NULL,o-Chlorophenol,NULL,34589
NULL,o-Chlorophenol,NULL,49467
NULL,o-Chlorotoluene,NULL,NULL
NULL,o-Chlorotoluene,NULL,77275
NULL,o-Cresol,NULL,NULL
NULL,Octachlorobiphenyl,NULL,NULL
NULL,o-Dichlorobenzene,NULL,NULL
NULL,o-Dichlorobenzene,NULL,34536
NULL,o-Dichlorobenzene,NULL,34539
NULL,o-Dichlorobenzene,NULL,49439
NULL,O-Dinitrobenzene,NULL,NULL
NULL,Odor threshold number,NULL,NULL
NULL,Odor threshold number,NULL,00085
NULL,"Odor, atmospheric",NULL,01330
NULL,o-Ethyltoluene,NULL,77220
NULL,Oil and grease,NULL,NULL
NULL,Oil and grease -- CWA 304B,NULL,00550
NULL,Oil and grease -- CWA 304B,NULL,00552
NULL,Oil and grease -- CWA 304B,NULL,00556
NULL,Oil and grease -- CWA 304B,NULL,00557
NULL,Oil and grease -- CWA 304B,NULL,01300
NULL,Oil Range Organics,NULL,NULL
NULL,Omeprazole,NULL,NULL
NULL,o-Nitroaniline,NULL,NULL
NULL,o-Nitrophenol,NULL,NULL
NULL,o-Nitrophenol,NULL,34591
NULL,o-Nitrophenol,NULL,34594
NULL,Organic anions,NULL,NULL
NULL,Organic carbon,NULL,NULL
NULL,Organic carbon,NULL,00680
NULL,Organic carbon,NULL,00681
NULL,Organic carbon,NULL,00687
NULL,Organic carbon,NULL,00689
NULL,Organic carbon,NULL,30243
NULL,Organic carbon,NULL,49271
NULL,Organic carbon,NULL,50465
NULL,Organic Nitrogen,NULL,NULL
NULL,Organic nitrogen,NULL,00605
NULL,Organic nitrogen,NULL,00607
NULL,Organic phosphorus,NULL,00670
NULL,Organic phosphorus,NULL,00673
NULL,"Organics mix, unspecified",NULL,NULL
NULL,ortho & para Xylene mix,NULL,NULL
NULL,Orthophosphate,NULL,NULL
NULL,Orthophosphate as P,NULL,NULL
NULL,Orthophosphate as PO4,NULL,NULL
NULL,Oryzalin,NULL,NULL
NULL,Oryzalin,NULL,49292
NULL,Osmium,NULL,NULL
NULL,Oxamyl,NULL,NULL
NULL,Oxamyl,NULL,38866
NULL,Oxamyl,NULL,82613
NULL,Oxidation reduction potential (ORP),NULL,NULL
NULL,Oxidation reduction potential (ORP),NULL,00090
NULL,Oxidation reduction potential (ORP),NULL,63002
NULL,Oxidized Nifedipine,NULL,NULL
NULL,Oxychlordane,NULL,49318
NULL,Oxyfluorfen,NULL,61600
NULL,Oxygen,NULL,00300
NULL,Oxygen,NULL,00301
NULL,Oxygen,NULL,62971
NULL,Oxygen-18/Oxygen-16 ratio,NULL,NULL
NULL,Oxygen-18/Oxygen-16 ratio,NULL,82085
NULL,Oxygen-18/Oxygen-16 ratio,NULL,82727
NULL,o-Xylene,NULL,NULL
NULL,o-Xylene,NULL,77135
NULL,Oxymorphone,NULL,NULL
NULL,"p-(1,1,3,3-Tetramethylbutyl)phenol",NULL,NULL
NULL,"p-(1,1,3,3-Tetramethylbutyl)phenol",NULL,62062
NULL,"p-(1,1,3,3-Tetramethylbutyl)phenol",NULL,62810
NULL,"p,p'-DDD",NULL,NULL
NULL,"p,p'-DDD",NULL,39310
NULL,"p,p'-DDD",NULL,39311
NULL,"p,p'-DDD",NULL,39360
NULL,"p,p'-DDD",NULL,39361
NULL,"p,p'-DDD",NULL,39362
NULL,"p,p'-DDD",NULL,39363
NULL,"p,p'-DDD",NULL,49326
NULL,"p,p'-DDE",NULL,NULL
NULL,"p,p'-DDE",NULL,34653
NULL,"p,p'-DDE",NULL,39321
NULL,"p,p'-DDE",NULL,39365
NULL,"p,p'-DDE",NULL,39366
NULL,"p,p'-DDE",NULL,39367
NULL,"p,p'-DDE",NULL,39368
NULL,"p,p'-DDE",NULL,49328
NULL,"p,p'-DDT",NULL,NULL
NULL,"p,p'-DDT",NULL,39300
NULL,"p,p'-DDT",NULL,39301
NULL,"p,p'-DDT",NULL,39370
NULL,"p,p'-DDT",NULL,39371
NULL,"p,p'-DDT",NULL,39372
NULL,"p,p'-DDT",NULL,39373
NULL,"p,p'-DDT",NULL,49330
NULL,Palladium,NULL,NULL
NULL,Paraoxon,NULL,NULL
NULL,Paraquat,NULL,NULL
NULL,Parathion,NULL,NULL
NULL,Parathion,NULL,39540
NULL,Parathion,NULL,39541
NULL,Parathion,NULL,39542
NULL,Parathion,NULL,39543
NULL,Paroxetine,NULL,NULL
NULL,Partial pressure of dissolved gases,NULL,NULL
NULL,Partial pressure of dissolved gases,NULL,00047
NULL,Particle size,NULL,70331
NULL,"Particle size, Sieve No. 230, 250 mesh, (0.063mm)",NULL,NULL
NULL,p-Bromophenyl phenyl ether,NULL,NULL
NULL,p-Bromophenyl phenyl ether,NULL,34636
NULL,p-Bromophenyl phenyl ether,NULL,34639
NULL,p-Bromophenyl phenyl ether,NULL,49454
NULL,p-Chloroaniline,NULL,NULL
NULL,p-Chloro-m-cresol,NULL,NULL
NULL,p-Chloro-m-cresol,NULL,34452
NULL,p-Chloro-m-cresol,NULL,34455
NULL,p-Chloro-m-cresol,NULL,49422
NULL,p-Chlorophenyl phenyl ether,NULL,NULL
NULL,p-Chlorophenyl phenyl ether,NULL,34641
NULL,p-Chlorophenyl phenyl ether,NULL,34644
NULL,p-Chlorophenyl phenyl ether,NULL,49455
NULL,p-Chlorotoluene,NULL,NULL
NULL,p-Chlorotoluene,NULL,77277
NULL,p-Cresol,NULL,NULL
NULL,p-Cresol,NULL,49451
NULL,p-Cresol,NULL,62084
NULL,p-Cresol,NULL,77146
NULL,p-Cumylphenol,NULL,NULL
NULL,p-Cymene,NULL,NULL
NULL,p-Cymene,NULL,77356
NULL,p-Dichlorobenzene,NULL,NULL
NULL,p-Dichlorobenzene,NULL,34571
NULL,p-Dichlorobenzene,NULL,34572
NULL,p-Dichlorobenzene,NULL,34574
NULL,p-Dichlorobenzene,NULL,49442
NULL,p-Dinitrobenzene,NULL,NULL
NULL,Pebulate,NULL,NULL
NULL,Pebulate,NULL,82669
NULL,Pendimethalin,NULL,NULL
NULL,Pendimethalin,NULL,82683
NULL,Pentachlorobiphenyl,NULL,NULL
NULL,Pentachloroethane,NULL,NULL
NULL,Pentachloronitrobenzene,NULL,49446
NULL,Pentachlorophenol,NULL,NULL
NULL,Pentachlorophenol,NULL,34459
NULL,Pentachlorophenol,NULL,39032
NULL,Pentachlorophenol,NULL,39061
NULL,Pentachlorophenol-13C6,NULL,NULL
NULL,Pentazocine,NULL,NULL
NULL,Perchlorate,NULL,NULL
NULL,Permethrin,NULL,NULL
NULL,Petroleum phenols,NULL,NULL
NULL,pH,NULL,NULL
NULL,pH,NULL,00400
NULL,pH,NULL,90400
NULL,"pH, lab",NULL,00403
NULL,Phenanthrene,NULL,NULL
NULL,Phenanthrene,NULL,34461
NULL,Phenanthrene,NULL,34462
NULL,Phenanthrene,NULL,34464
NULL,Phenanthrene,NULL,49409
NULL,Phenanthrene-d10,NULL,NULL
NULL,Phenanthridine,NULL,49393
NULL,Phendimetrazine,NULL,NULL
NULL,Phenobarbital,NULL,NULL
NULL,Phenobarbital-D5,NULL,NULL
NULL,Phenol,NULL,NULL
NULL,Phenol,NULL,34466
NULL,Phenol,NULL,34694
NULL,Phenol,NULL,34695
NULL,Phenol,NULL,49413
NULL,"Phenol, 2-(1,1-dimethylethyl)-4-methoxy-",NULL,61702
NULL,"Phenol, 2-(1,1-dimethylethyl)-4-methoxy-",NULL,62059
NULL,"Phenol, 4-(1-methyl-1-phenylethyl)-",NULL,62060
NULL,"Phenol, 4-(1-methyl-1-phenylethyl)-",NULL,62808
NULL,Phenol-D6,NULL,NULL
NULL,Phenols and phenolic compounds,NULL,32730
NULL,Phenytoin,NULL,NULL
NULL,Pheophytin a,NULL,NULL
NULL,Pheophytin a,NULL,62360
NULL,Phorate,NULL,NULL
NULL,Phorate,NULL,39023
NULL,Phorate,NULL,82664
NULL,Phosmet,NULL,61601
NULL,Phosmetoxon,NULL,61668
NULL,Phosphate,NULL,NULL
NULL,Phosphate,NULL,00660
NULL,Phosphate,NULL,00671
NULL,Phosphate,NULL,51131
NULL,Phosphate,NULL,70507
