CAS_Reg,Param,ParamGroup,USGSPCode
NULL,"2,4,5-T",NULL,39740
NULL,"2,4,5-T",NULL,39741
NULL,"2,4,5-T",NULL,39742
NULL,"2,4,5-T",NULL,39743
NULL,"2,4,5-Trichlorobiphenyl",NULL,NULL
NULL,"2,4,5-Trichlorophenol",NULL,NULL
NULL,"2,4,6-Trichlorophenol",NULL,NULL
NULL,"2,4,6-Trichlorophenol",NULL,34621
NULL,"2,4,6-Trichlorophenol",NULL,34624
NULL,"2,4-D",NULL,NULL
NULL,"2,4-D",NULL,39730
NULL,"2,4-D",NULL,39731
NULL,"2,4-D",NULL,39732
NULL,"2,4-D",NULL,39733
NULL,"2,4-D methyl ester",NULL,50470
NULL,"2,4-D-13C6",NULL,NULL
NULL,"2,4-DB",NULL,38746
NULL,"2,4-Dichlorophenol",NULL,NULL
NULL,"2,4-Dichlorophenol",NULL,34601
NULL,"2,4-Dichlorophenol",NULL,34604
NULL,"2,4-Dimethylphenol",NULL,NULL
NULL,"2,4-Dimethylphenol",NULL,34606
NULL,"2,4-Dimethylphenol",NULL,34609
NULL,"2,4-Dinitrophenol",NULL,NULL
NULL,"2,4-Dinitrophenol",NULL,34616
NULL,"2,4-Dinitrophenol",NULL,34619
NULL,"2,4-Dinitrotoluene",NULL,NULL
NULL,"2,4-Dinitrotoluene",NULL,34611
NULL,"2,4-Dinitrotoluene",NULL,34614
NULL,"2,4-Dinitrotoluene",NULL,49395
NULL,"2,4-Pyrimidinediamine, 5-[(3,4,5-trimethoxyphenyl)methyl]-",NULL,62023
NULL,"2,6-Dichloro-4-methylphenol",NULL,NULL
NULL,"2,6-Diethylaniline",NULL,NULL
NULL,"2,6-Diethylaniline",NULL,82660
NULL,"2,6-Dimethylnaphthalene",NULL,NULL
NULL,"2,6-Dimethylnaphthalene",NULL,49406
NULL,"2,6-Dimethylnaphthalene",NULL,62055
NULL,"2,6-Dimethylnaphthalene",NULL,62805
NULL,"2,6-Dinitrotoluene",NULL,NULL
NULL,"2,6-Dinitrotoluene",NULL,34626
NULL,"2,6-Dinitrotoluene",NULL,34629
NULL,"2,6-Dinitrotoluene",NULL,49396
NULL,"2-Chloro-4,6-diamino-s-triazine",NULL,04039
NULL,2-Chloro-4-isopropylamino-6-amino-s-triazine,NULL,NULL
NULL,2-Chloro-4-isopropylamino-6-amino-s-triazine,NULL,04040
NULL,2-Chloro-4-isopropylamino-6-amino-s-triazine,NULL,75981
NULL,2-Chloro-6-ethylamino-4-amino-s-triazine,NULL,04038
NULL,2-Chloro-6-ethylamino-4-amino-s-triazine,NULL,75980
NULL,2-Chloroethyl vinyl ether,NULL,NULL
NULL,2-Chloroethyl vinyl ether,NULL,34576
NULL,2-Chloronaphthalene,NULL,NULL
NULL,2-Chloronaphthalene,NULL,34581
NULL,2-Chloronaphthalene,NULL,34584
NULL,2-Chloronaphthalene,NULL,49407
NULL,2-Choro-6-ethylamino-4-amino-s-triazine,NULL,NULL
NULL,2-Ethyl-6-methylaniline,NULL,61620
NULL,2-Ethylhexanol,NULL,NULL
NULL,2-Ethylnaphthalene,NULL,49948
NULL,2-Hexanone,NULL,NULL
NULL,2-Hexanone,NULL,77103
